     r start (m)       r end (m)  v start (ms-1)    v end (ms-1)    accel (ms-2)     t start (s)       t end (s)
   6371000.00000   6364629.00000         0.00000       352.84820         9.77098         0.00000        36.11843
   6364629.00000   6358258.00000       352.84820       499.08602         9.77751        36.11843        51.07524
   6358258.00000   6351887.00000       499.08602       611.34423         9.78299        51.07524        62.55016
   6351887.00000   6345516.00000       611.34423       706.01048         9.78724        62.55016        72.22263
   6345516.00000   6339145.00000       706.01048       789.42668         9.78996        72.22263        80.74322
   6339145.00000   6332774.00000       789.42668       864.84610         9.79158        80.74322        88.44571
   6332774.00000   6326403.00000       864.84610       934.20788         9.79325        88.44571        95.52833
   6326403.00000   6320032.00000       934.20788       998.77518         9.79497        95.52833       102.12022
   6320032.00000   6313661.00000       998.77518      1059.42511         9.79671       102.12022       108.31107
   6313661.00000   6307290.00000      1059.42511      1116.79620         9.79848       108.31107       114.16618
   6307290.00000   6300919.00000      1116.79620      1171.37047         9.80027       114.16618       119.73483
   6300919.00000   6294548.00000      1171.37047      1223.52233         9.80208       119.73483       125.05533
   6294548.00000   6288177.00000      1223.52233      1273.54954         9.80392       125.05533       130.15811
   6288177.00000   6281806.00000      1273.54954      1321.69355         9.80579       130.15811       135.06786
   6281806.00000   6275435.00000      1321.69355      1368.15325         9.80768       135.06786       139.80494
   6275435.00000   6269064.00000      1368.15325      1413.09487         9.80959       139.80494       144.38634
   6269064.00000   6262693.00000      1413.09487      1456.65902         9.81152       144.38634       148.82644
   6262693.00000   6256322.00000      1456.65902      1498.96588         9.81347       148.82644       153.13754
   6256322.00000   6249951.00000      1498.96588      1540.11912         9.81543       153.13754       157.33026
   6249951.00000   6243580.00000      1540.11912      1580.20895         9.81741       157.33026       161.41380
   6243580.00000   6237209.00000      1580.20895      1619.31451         9.81943       161.41380       165.39627
   6237209.00000   6230838.00000      1619.31451      1657.50563         9.82149       165.39627       169.28480
   6230838.00000   6224467.00000      1657.50563      1694.84426         9.82359       169.28480       173.08572
   6224467.00000   6218096.00000      1694.84426      1731.38572         9.82573       173.08572       176.80467
   6218096.00000   6211725.00000      1731.38572      1767.17971         9.82794       176.80467       180.44674
   6211725.00000   6205354.00000      1767.17971      1802.27082         9.83017       180.44674       184.01648
   6205354.00000   6198983.00000      1802.27082      1836.69936         9.83240       184.01648       187.51802
   6198983.00000   6192612.00000      1836.69936      1870.50195         9.83464       187.51802       190.95512
   6192612.00000   6186241.00000      1870.50195      1903.71200         9.83690       190.95512       194.33118
   6186241.00000   6179870.00000      1903.71200      1936.35986         9.83912       194.33118       197.64935
   6179870.00000   6173499.00000      1936.35986      1968.47355         9.84136       197.64935       200.91249
   6173499.00000   6167128.00000      1968.47355      2000.07919         9.84372       200.91249       204.12323
   6167128.00000   6160757.00000      2000.07919      2031.20074         9.84615       204.12323       207.28402
   6160757.00000   6154386.00000      2031.20074      2061.86029         9.84864       207.28402       210.39709
   6154386.00000   6148015.00000      2061.86029      2092.07808         9.85111       210.39709       213.46454
   6148015.00000   6141644.00000      2092.07808      2121.87224         9.85333       213.46454       216.48831
   6141644.00000   6135273.00000      2121.87224      2151.26024         9.85550       216.48831       219.47020
   6135273.00000   6128902.00000      2151.26024      2180.25849         9.85767       219.47020       222.41189
   6128902.00000   6122531.00000      2180.25849      2208.88234         9.85984       222.41189       225.31497
   6122531.00000   6116160.00000      2208.88234      2237.14615         9.86201       225.31497       228.18089
   6116160.00000   6109789.00000      2237.14615      2265.06341         9.86418       228.18089       231.01106
   6109789.00000   6103418.00000      2265.06341      2292.64678         9.86635       231.01106       233.80676
   6103418.00000   6097047.00000      2292.64678      2319.90811         9.86850       233.80676       236.56922
   6097047.00000   6090676.00000      2319.90811      2346.85866         9.87066       236.56922       239.29960
   6090676.00000   6084305.00000      2346.85866      2373.50906         9.87284       239.29960       241.99896
   6084305.00000   6077934.00000      2373.50906      2399.86936         9.87503       241.99896       244.66835
   6077934.00000   6071563.00000      2399.86936      2425.94904         9.87724       244.66835       247.30873
   6071563.00000   6065192.00000      2425.94904      2451.75710         9.87946       247.30873       249.92103
   6065192.00000   6058821.00000      2451.75710      2477.30204         9.88169       249.92103       252.50610
   6058821.00000   6052450.00000      2477.30204      2502.59188         9.88391       252.50610       255.06479
